Sat, 21 Nov 15 21:47:11 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sun, 22 Nov 15 10:22:11 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373766582366209, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:21:38", geo_lat = 0, geo_long = 0, user_id = 2932179582, screen_name = "KJZRT", name = "jd", profile_image_url = "http://pbs.twimg.com/profile_images/668039072368099328/uVBf1fNH_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:22:13 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x82\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373772278304768, tweet_text = "@SallyRedux @georgegalloway @AdnanSadiq01 😂😂😂😂 yet it\'s been 2yrs and ISIS is growing not being disband", created_at = "2015-11-22 10:21:39", geo_lat = 0, geo_long = 0, user_id = 962071604, screen_name = "tabuhasna", name = "T Abuhasna", profile_image_url = "http://pbs.twimg.com/profile_images/378800000642218961/c9314c6cecba59de6c7891fed7e57c34_normal.jpeg", is_rt = 0
Sun, 22 Nov 15 10:22:15 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668373777538023424, url="http://www.independent.co.uk/news/world/middle-east/life-as-a-woman-under-isis-document-reveals-for-the-first-time-what-group-really-expects-from-female-10025143.html"
Sun, 22 Nov 15 10:22:26 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA5\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373828515586049, tweet_text = "RT @giftedteen: 2 white men were just caught entering a school 😥😓😓 school shooters maybe?? 😩😨  https://t.co/TYX0nYilYl", created_at = "2015-11-22 10:21:53", geo_lat = 0, geo_long = 0, user_id = 38886673, screen_name = "queenbec_", name = "bec", profile_image_url = "http://pbs.twimg.com/profile_images/666347554532155392/cN_PBUSr_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:22:27 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668373831871029248, url="https://www.washingtonpost.com/world/national-security/inside-the-islamic-states-propaganda-machine/2015/11/20/051e997a-8ce6-11e5-acff-673ae92ddd2b_story.html?postshare=5061448181472761&tid=ss_tw-bottom"
Sun, 22 Nov 15 10:22:34 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xAD' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373860782227456, tweet_text = "RT @StingyLover: Who started these Obama haircuts?  😭", created_at = "2015-11-22 10:22:00", geo_lat = 0, geo_long = 0, user_id = 1616211116, screen_name = "bellaarie_", name = "A r i e.", profile_image_url = "http://pbs.twimg.com/profile_images/667630355839516672/m6SNXQuc_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:22:35 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA0#Y...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373866448752640, tweet_text = "RT @peddoc63: Here are widows &amp; orphans denied asylum by Obama😠#Yazidis &amp; Christians😩@ritzy_jewels #tcot https://t.co/OrvbJMpmCG https://t.…", created_at = "2015-11-22 10:22:02", geo_lat = 0, geo_long = 0, user_id = 387151655, screen_name = "Laneybaby004", name = "ELNA", profile_image_url = "http://pbs.twimg.com/profile_images/654058588973961220/uO1WB08D_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:22:36 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668373868529086464, url="http://timesofindia.indiatimes.com/india/Peace-talks-along-with-military-action-required-to-fight-ISIS-Sri-Sri-Ravi-Shankar/articleshow/49879918.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=TOIIndiaNews"
Sun, 22 Nov 15 10:22:38 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373877836267520, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:22:04", geo_lat = 0, geo_long = 0, user_id = 339496498, screen_name = "Faisal_Jr_11", name = "Faisal Nur Hidayat", profile_image_url = "http://pbs.twimg.com/profile_images/644710147214868480/_txX2k2x_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:22:41 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xB1 #...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373890377326592, tweet_text = "El Clasico stats before the game 😱 #FCB #RealMadrid #ElClasico https://t.co/H6JdGMuIhr", created_at = "2015-11-22 10:22:07", geo_lat = 0, geo_long = 0, user_id = 3245469645, screen_name = "TheTrueBlue2015", name = "TheTrueBlue", profile_image_url = "http://pbs.twimg.com/profile_images/665630656844726272/nSPULiGE_normal.jpg", is_rt = 0
Sun, 22 Nov 15 10:22:48 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373921318703105, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:22:15", geo_lat = 0, geo_long = 0, user_id = 3233577360, screen_name = "Ryan_P04", name = "Ryan Benedictivy", profile_image_url = "http://pbs.twimg.com/profile_images/632531002682839044/5bHdksgf_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:22:49 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x8A h...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373926540611584, tweet_text = "RT @PRINCE_VIII: Obama is not the first black president of the US...\nsince we all wanna be stupid. 😊 https://t.co/SuUEWsI6Dj", created_at = "2015-11-22 10:22:16", geo_lat = 0, geo_long = 0, user_id = 47337179, screen_name = "r_miMa_tin", name = "Remi Martin Eluyefa", profile_image_url = "http://pbs.twimg.com/profile_images/598637284599042048/-CP_m5yh_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:22:55 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668373950276108288, url="http://timesofindia.indiatimes.com/india/Peace-talks-along-with-military-action-required-to-fight-ISIS-Sri-Sri-Ravi-Shankar/articleshow/49879918.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=TOIIndiaNews"
Sun, 22 Nov 15 10:22:56 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668373953853919232, url="http://mobile.nytimes.com/2015/11/21/opinion/saudi-arabia-an-isis-that-has-made-it.html?referer=http://nuzzel.com/sharedstory/11202015/nytimes/saudi_arabia_an_isis_that_has_made_it_2?utm_campaign=digest&utm_medium=email&utm_source=app"
Sun, 22 Nov 15 10:22:58 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373961554661377, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:22:24", geo_lat = 0, geo_long = 0, user_id = 3074666855, screen_name = "3a699c9160df4f1", name = "\';#Saaaiiiouuffuu\'\'", profile_image_url = "http://pbs.twimg.com/profile_images/666628576142315521/B7iZWrY7_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:00 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373972799479808, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:22:27", geo_lat = 0, geo_long = 0, user_id = 866022679, screen_name = "SyariFahShahada", name = "SalSabiela Khan ♡", profile_image_url = "http://pbs.twimg.com/profile_images/667398538234589184/D1iJl_2A_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:02 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA5\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373976406745088, tweet_text = "RT @giftedteen: 2 white men were just caught entering a school 😥😓😓 school shooters maybe?? 😩😨  https://t.co/TYX0nYilYl", created_at = "2015-11-22 10:22:28", geo_lat = 0, geo_long = 0, user_id = 2234904792, screen_name = "crwnofgold", name = "Sarah", profile_image_url = "http://pbs.twimg.com/profile_images/667108681578844160/Ql0eCJjG_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:06 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668373992764518400, url="http://ndtv.com.feedsportal.com/c/33805/f/606695/s/4bb2bb7f/sc/7/l/0L0Sndtv0N0Cworld0Enews0Cbarack0Eobama0Esays0Ewill0Enot0Erelent0Ein0Efight0Eagainst0Eislamic0Estate0Eurges0Erussia0Ehelp0E1246151/story01.htm"
Sun, 22 Nov 15 10:23:06 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA5\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668373992097599488, tweet_text = "RT @giftedteen: 2 white men were just caught entering a school 😥😓😓 school shooters maybe?? 😩😨  https://t.co/TYX0nYilYl", created_at = "2015-11-22 10:22:32", geo_lat = 0, geo_long = 0, user_id = 981631634, screen_name = "fmkrit", name = "francesca kritikos", profile_image_url = "http://pbs.twimg.com/profile_images/668083118222495744/_jybHKb__normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:07 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668373996560187392, url="http://timesofindia.indiatimes.com/india/Peace-talks-along-with-military-action-required-to-fight-ISIS-Sri-Sri-Ravi-Shankar/articleshow/49879918.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=TOIIndiaNews"
Sun, 22 Nov 15 10:23:09 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668374005590700032, url="http://www.independent.co.uk/news/uk/home-news/waheed-ahmed-labour-councillors-son-arrested-for-attempting-to-reach-syria-returns-to-uk-10174685.html"
Sun, 22 Nov 15 10:23:13 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA0#Y...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374021390643201, tweet_text = "RT @peddoc63: Here are widows &amp; orphans denied asylum by Obama😠#Yazidis &amp; Christians😩@ritzy_jewels #tcot https://t.co/OrvbJMpmCG https://t.…", created_at = "2015-11-22 10:22:39", geo_lat = 0, geo_long = 0, user_id = 464193784, screen_name = "kjb1968", name = "Karl Borchers", profile_image_url = "http://pbs.twimg.com/profile_images/1972152795/KB1_normal.JPG", is_rt = 1
Sun, 22 Nov 15 10:23:13 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374025685499906, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:22:40", geo_lat = 0, geo_long = 0, user_id = 179065668, screen_name = "PisceanAquarian", name = "SmileyCyrus", profile_image_url = "http://pbs.twimg.com/profile_images/632946744033079297/gUF5ehyY_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:15 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668374032639795200, url="http://www.breitbart.com/jerusalem/2015/11/21/three-american-citizens-killed-muslim-terrorists-israel-last-six-weeks-obama-says-nothing/?utm_source=facebook&utm_medium=social"
Sun, 22 Nov 15 10:23:17 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374041120538625, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:22:43", geo_lat = 0, geo_long = 0, user_id = 605177443, screen_name = "AmriHida", name = "Amri", profile_image_url = "http://pbs.twimg.com/profile_images/492400990432137216/N8Ad4HFf_normal.jpeg", is_rt = 1
Sun, 22 Nov 15 10:23:17 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x8D\x88\x0A#...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374040097062913, tweet_text = "RT @cusois: Super ISIS chan Melon Brothers🍈\n#ISISちゃん #ISISchan #ISIS #daesh https://t.co/IyCCi3pqI7", created_at = "2015-11-22 10:22:43", geo_lat = 0, geo_long = 0, user_id = 4225307894, screen_name = "Anago901", name = "あなごさん", profile_image_url = "http://pbs.twimg.com/profile_images/665210939206057984/GMhCCixU_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:19 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374047126896640, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:22:45", geo_lat = 0, geo_long = 0, user_id = 350350169, screen_name = "FatmaBintM7md", name = "فاطمه بنت محمد", profile_image_url = "http://pbs.twimg.com/profile_images/644166080672346112/H_dVnNgK_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:21 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374055708434432, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:22:47", geo_lat = 0, geo_long = 0, user_id = 3970264545, screen_name = "AliBlamm", name = "Ali Blamm", profile_image_url = "http://pbs.twimg.com/profile_images/654917258557431808/rhd33NuP_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:21 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA5\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374057180532736, tweet_text = "RT @giftedteen: 2 white men were just caught entering a school 😥😓😓 school shooters maybe?? 😩😨  https://t.co/TYX0nYilYl", created_at = "2015-11-22 10:22:47", geo_lat = 0, geo_long = 0, user_id = 472611527, screen_name = "deviljauregui", name = "adriana is dead", profile_image_url = "http://pbs.twimg.com/profile_images/656033706998558720/Wm-9zn-Z_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:26 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x8D\x88\x0A#...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374080261718016, tweet_text = "RT @cusois: Super ISIS chan Melon Brothers🍈\n#ISISちゃん #ISISchan #ISIS #daesh https://t.co/IyCCi3pqI7", created_at = "2015-11-22 10:22:53", geo_lat = 0, geo_long = 0, user_id = 4186667963, screen_name = "Ikura284", name = "いくらちゃん", profile_image_url = "http://pbs.twimg.com/profile_images/665525443257241601/v52J8-SM_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:26 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668374081075609604, url="http://edition.cnn.com/videos/world/2015/11/18/isis-inside-raqqa-syria-training-video-labott-tsr-pkg.cnn/video/playlists/isis-power-an-terror/"
Sun, 22 Nov 15 10:23:27 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xB3' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374081192992768, tweet_text = "@NBCNews Don\'t worry Obama said ISIS is contained.😳", created_at = "2015-11-22 10:22:53", geo_lat = 0, geo_long = 0, user_id = 324303639, screen_name = "CONNLEO", name = "CONNLEO", profile_image_url = "http://pbs.twimg.com/profile_images/3569527356/06038031e6a347abf4bb94c74a81a376_normal.jpeg", is_rt = 0
Sun, 22 Nov 15 10:23:27 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668374081092366336, url="http://indiatoday.feedsportal.com/c/33614/f/589699/s/4bb2d6cd/sc/7/l/0Lindiatoday0Bintoday0Bin0Cstory0Cus0Ewill0Enot0Erelent0Ein0Efight0Eagainst0Eislamic0Estate0Eobama0C10C5288760Bhtml/story01.htm"
Sun, 22 Nov 15 10:23:28 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x92' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374086700146688, tweet_text = "Lol @ people who think Arabs can stop isis we can\'t even stop our parents 😒", created_at = "2015-11-22 10:22:54", geo_lat = 0, geo_long = 0, user_id = 270541736, screen_name = "Sara_Zamzam", name = "NotReally", profile_image_url = "http://pbs.twimg.com/profile_images/661016095214714880/lF7FwExs_normal.jpg", is_rt = 0
Sun, 22 Nov 15 10:23:30 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668374093398429696, url="http://www.independent.co.uk/voices/comment/francois-hollandes-war-with-isis-wont-stand-in-the-way-of-frances-arms-deals-with-saudi-arabia-a6738546.html"
Sun, 22 Nov 15 10:23:33 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374107352899584, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:22:59", geo_lat = 0, geo_long = 0, user_id = 3381184753, screen_name = "LaleNikawww", name = "nika_25_09", profile_image_url = "http://pbs.twimg.com/profile_images/667765114456686592/WpJg0pj6_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:35 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x82\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374116861239296, tweet_text = "Wt d ISIS😂😂🔨🔩🎂 https://t.co/2X4FZpJvZN", created_at = "2015-11-22 10:23:01", geo_lat = 0, geo_long = 0, user_id = 2234290962, screen_name = "SophiaArguinoso", name = "Bachiii ❌", profile_image_url = "http://pbs.twimg.com/profile_images/658975707826024448/Z-VN7i9p_normal.jpg", is_rt = 0
Sun, 22 Nov 15 10:23:35 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x99\x8A#M...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374117528289280, tweet_text = "If you\'re reluctant to bomb #Syria, you\'re told you want to \'do nothing\'. I want to cut off funds &amp; arms sales to #ISIS🙊#Marr #bbcsml #bbcsp", created_at = "2015-11-22 10:23:02", geo_lat = 0, geo_long = 0, user_id = 3399023392, screen_name = "Lad87Red", name = "Alex", profile_image_url = "http://pbs.twimg.com/profile_images/650996011377143808/h5mP5fEN_normal.png", is_rt = 0
Sun, 22 Nov 15 10:23:36 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x8D\x88\x0A#...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374120715784192, tweet_text = "RT @cusois: Super ISIS chan Melon Brothers🍈\n#ISISちゃん #ISISchan #ISIS #daesh https://t.co/IyCCi3pqI7", created_at = "2015-11-22 10:23:02", geo_lat = 0, geo_long = 0, user_id = 4236329059, screen_name = "Unagi120", name = "魚曼", profile_image_url = "http://pbs.twimg.com/profile_images/665581708188610560/qgxfEFDV_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:39 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668374134641008640, url="https://www.rt.com/news/323025-militants-killed-isis-gang/?utm_source=browser&utm_medium=aplication_chrome&utm_campaign=chrome#.VlGXhlW8BTE.twitter"
Sun, 22 Nov 15 10:23:40 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668374137367232512, url="http://host.madison.com/news/national/government-and-politics/obama-us-will-not-relent-in-islamic-state-campaign/article_f4844236-8674-5396-bfc6-4151901cf8eb.html"
Sun, 22 Nov 15 10:23:43 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374149933453312, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:23:09", geo_lat = 0, geo_long = 0, user_id = 2682268645, screen_name = "jarrenmonteiro", name = "Jarren Monteiro", profile_image_url = "http://pbs.twimg.com/profile_images/667948321634414592/52vWq52Z_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:45 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x8D\x88\x0A#...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374161421565953, tweet_text = "RT @cusois: Super ISIS chan Melon Brothers🍈\n#ISISちゃん #ISISchan #ISIS #daesh https://t.co/IyCCi3pqI7", created_at = "2015-11-22 10:23:12", geo_lat = 0, geo_long = 0, user_id = 4242713892, screen_name = "Enoki219", name = "えのきん", profile_image_url = "http://pbs.twimg.com/profile_images/665783005672157184/VhKy8bfF_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:51 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x99\x88ht...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374183647322112, tweet_text = "RT @br_uk: Catalan newspaper ‘Sport’ give Bale &amp; Benzema 1 out of 10 for #ElClasico performances. 🙈https://t.co/nPVKU5sua9 https://t.co/8nd…", created_at = "2015-11-22 10:23:17", geo_lat = 0, geo_long = 0, user_id = 41100474, screen_name = "MalikAggs", name = "مالك", profile_image_url = "http://pbs.twimg.com/profile_images/597157502896185344/AHD0E0pp_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:51 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374180468006912, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:23:17", geo_lat = 0, geo_long = 0, user_id = 1381686307, screen_name = "AliHima1234", name = "Ali Ibrahim", profile_image_url = "http://pbs.twimg.com/profile_images/632529469039898624/ouRTFjO8_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:56 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x8D\x88\x0A#...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374202466996228, tweet_text = "RT @cusois: Super ISIS chan Melon Brothers🍈\n#ISISちゃん #ISISchan #ISIS #daesh https://t.co/IyCCi3pqI7", created_at = "2015-11-22 10:23:22", geo_lat = 0, geo_long = 0, user_id = 4246272072, screen_name = "Okura726", name = "おくら入り", profile_image_url = "http://pbs.twimg.com/profile_images/665900235835576320/PLmcX0re_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:56 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x93\xB7 T...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374202639122432, tweet_text = "RT @FCBarcelona: 📷 Take a look through the best pictures from #ElClasico #FCB #MesQueUnClub https://t.co/KlvbdJRfsX https://t.co/cThTfkqvxC", created_at = "2015-11-22 10:23:22", geo_lat = 0, geo_long = 0, user_id = 496808170, screen_name = "mannirai84", name = "Manni Rai", profile_image_url = "http://pbs.twimg.com/profile_images/625373381760819200/uMlvRanV_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:23:57 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x91\x8C\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374206132940800, tweet_text = "RT @BonsaiSky: So on point 👌🏼 | Muslims Face Backlash After Isis Attacks https://t.co/fbLRcAVhAV", created_at = "2015-11-22 10:23:23", geo_lat = 0, geo_long = 0, user_id = 171558436, screen_name = "annishaxr", name = "ANNISHA.", profile_image_url = "http://pbs.twimg.com/profile_images/666756543665348608/ZxmY-rdk_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:24:00 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x91\x88 W...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668374218816552960, tweet_text = "RT @GaetaSusan: Can You Say \"ISIS MILITANTS\" 3 Times Fast??? Otherwise You Are A Liberal👈 When Will They Learn⁉ 😳 #StoptheInvasion https://…", created_at = "2015-11-22 10:23:26", geo_lat = 0, geo_long = 0, user_id = 3382242892, screen_name = "_Ash_Bell__", name = "Ash", profile_image_url = "http://pbs.twimg.com/profile_images/667644312365215744/l783K8_r_normal.jpg", is_rt = 1
Sun, 22 Nov 15 10:24:01 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668374223262490624, url="http://krugman.blogs.nytimes.com/2015/11/17/terrorists-and-aliens/?module=BlogPost-Title&version=Blog%20Main&contentCollection=Opinion&action=Click&pgtype=Blogs&region=Body&_r=0"
Sun, 22 Nov 15 10:24:04 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668374237233750020, url="http://theinternationalreporter.org/2015/11/15/strategic-iraqi-town-of-sinjar-liberated-from-isis-psychopaths-in-just-24-hours-blocking-mosul-to-raqqa-highway-47/"
